xflr5 v6.47

C:/Users/miksw/Documents/XFLR5/NACA 0012.dat
Reynolds = 9000000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 24.000       0.151     1.410    -0.025     0.005     1.000    0.0000  -14.4691
 Cpi          Cpv
 0.4357    0.2726
 0.4239    0.2566
 0.4129    0.2411
 0.4025    0.2256
 0.3929    0.2105
 0.3839    0.1955
 0.3758    0.1808
 0.3683    0.1661
 0.3618    0.1516
 0.3560    0.1372
 0.3512    0.1228
 0.3473    0.1085
 0.3447    0.0944
 0.3429    0.0799
 0.3427    0.0657
 0.3439    0.0514
 0.3468    0.0372
 0.3515    0.0229
 0.3588    0.0091
 0.3693   -0.0042
 0.3829   -0.0175
 0.4027   -0.0290
 0.4302   -0.0413
 0.4696   -0.0673
 0.5028   -0.1030


Reynolds = 9000000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 20.500       0.037     1.864     0.032     0.005     1.000    0.0000  -17.8123
 Cpi          Cpv
-----------------
 0.4995   -0.0773
 0.4417   -0.0775
 0.3806   -0.0781
 0.3304   -0.0791
 0.2860   -0.0805
 0.2461   -0.0823
 0.2074   -0.0845
 0.1705   -0.0870
 0.1349   -0.0900
 0.0996   -0.0934
 0.0648   -0.0972
 0.0299   -0.1014
-0.0045   -0.1060
-0.0395   -0.1111
-0.0746   -0.1165
-0.1101   -0.1224
-0.1462   -0.1286
-0.1831   -0.1353
-0.2204   -0.1424
-0.2590   -0.1498
-0.2984   -0.1575
-0.3393   -0.1655
-0.3811   -0.1735
-0.4250   -0.1812
-0.4703   -0.1873
-0.5177   -0.1873
-0.5669   -0.1936
-0.6190   -0.2214
-0.6733   -0.2607
-0.7305   -0.3105
-0.7911   -0.3692
-0.8549   -0.4351
-0.9226   -0.5067
-0.9945   -0.5828
-1.0706   -0.6626
-1.1519   -0.7460
-1.2386   -0.8330
-1.3312   -0.9239
-1.4307   -1.0194
-1.5373   -1.1200
-1.6522   -1.2264
-1.7760   -1.3395
-1.9103   -1.4604
-2.0570   -1.5906
-2.2160   -1.7306
-2.3915   -1.8832
-2.5845   -2.0497
-2.7994   -2.2331
-3.0395   -2.4364
-3.3094   -2.6631
-3.6163   -2.9189
-3.9700   -3.2111
-4.3784   -3.5463
-4.8587   -3.9374
-5.4304   -4.3992
-6.1179   -4.9506
-6.9608   -5.6209
-8.0076   -6.4461
-9.3277   -7.4754
-11.0101   -8.7678
-13.1549   -10.3784
-15.8553   -12.3724
-19.0032   -15.2763
-22.0434   -16.9734
-23.4255   -17.8123
-21.6549   -16.1888
-17.3820   -12.6744
-12.0529   -8.4820
-7.5026   -5.0004
-4.3367   -2.6334
-2.2966   -1.1448
-1.0198   -0.2389
-0.2221    0.3075
 0.2767    0.6334
 0.5880    0.8236
 0.7802    0.9291
 0.8953    0.9813
 0.9600    0.9993
 0.9912    0.9954
 1.0000    0.9776
 0.9939    0.9511
 0.9779    0.9191
 0.9554    0.8842
 0.9288    0.8478
 0.8998    0.8110
 0.8696    0.7745
 0.8391    0.7389
 0.8086    0.7042
 0.7788    0.6710
 0.7499    0.6391
 0.7219    0.6087
 0.6951    0.5797
 0.6696    0.5522
 0.6452    0.5261
 0.6221    0.5012
 0.6001    0.4775
 0.5793    0.4550
 0.5595    0.4335
 0.5408    0.4130
 0.5231    0.3934
 0.5063    0.3745
 0.4905    0.3564
 0.4754    0.3388
 0.4611    0.3218
 0.4476    0.3055
 0.4348    0.2894
 0.4228    0.2738
 0.4114    0.2586
 0.4008    0.2438
 0.3907    0.2290
 0.3815    0.2147
 0.3729    0.2005
 0.3652    0.1866
 0.3580    0.1727
 0.3518    0.1592
 0.3465    0.1457
 0.3420    0.1323
 0.3385    0.1190
 0.3362    0.1058
 0.3348    0.0923
 0.3350    0.0792
 0.3366    0.0660
 0.3399    0.0529
 0.3450    0.0397
 0.3527    0.0269
 0.3637    0.0148
 0.3776    0.0025
 0.3979   -0.0081
 0.4258   -0.0194
 0.4657   -0.0438
 0.4995   -0.0773


Reynolds = 9000000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 20.000       0.032     1.863     0.032     0.005     1.000    0.0000  -17.4204
 Cpi          Cpv
-----------------
 0.4963   -0.0520
 0.4384   -0.0522
 0.3772   -0.0528
 0.3270   -0.0537
 0.2827   -0.0551
