xflr5 v6.43

NACA 63A-609
Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 16.000       0.126     1.180    -0.070     0.004     1.000    0.0000  -10.2997
 Cpi          Cpv
 0.3828    0.3148
 0.3688    0.3015
 0.3614    0.2944
 0.3585    0.2917
 0.3594    0.2921
 0.3633    0.2950
 0.3700    0.2996
 0.3778    0.3043
 0.3860    0.3071
 0.3761    0.2949
 0.3360    0.2548
 0.3171    0.2250
 0.3028    0.1990
 0.2922    0.1754
 0.2886    0.1550
 0.2745    0.1241
 0.2515    0.0817
 0.2206    0.0292
 0.2123   -0.0025
 0.0262   -0.0725
 0.5791    0.0564


Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  7.000       0.015     1.158    -0.097     0.013     1.000    0.0000  -4.3506
 Cpi          Cpv
-----------------
 0.5759    0.0967
-0.0637    0.0933
 0.1053    0.0889
 0.0623    0.0818
 0.0533    0.0722
 0.0298    0.0584
-0.0116    0.0382
-0.0754    0.0076
-0.1619   -0.0380
-0.2225   -0.0944
-0.3016   -0.1672
-0.4358   -0.2700
-0.5102   -0.3585
-0.5660   -0.4328
-0.6352   -0.5094
-0.7060   -0.5853
-0.7785   -0.6607
-0.8523   -0.7355
-0.9273   -0.8098
-1.0022   -0.8824
-1.0736   -0.9504
-1.1354   -1.0091
-1.1978   -1.0658
-1.2499   -1.1130
-1.3143   -1.1684
-1.3885   -1.2306
-1.4737   -1.3002
-1.5759   -1.3816
-1.7047   -1.4807
-1.8522   -1.5898
-2.0505   -1.7295
-2.2934   -1.8944
-2.6172   -2.1347
-3.0474   -2.8221
-3.5936   -3.2814
-4.3155   -3.4468
-5.2244   -3.7782
-5.9419   -4.1861
-5.9376   -4.1185
-5.8142   -4.1577
-6.6942   -4.3506
-5.7799   -3.6499
-3.9779   -2.3816
-2.2129   -1.0590
-0.4881    0.1372
 0.4436    0.7612
 0.9227    0.9919
 0.9999    0.9762
 0.9582    0.8969
 0.8827    0.8089
 0.8027    0.7244
 0.7267    0.6500
 0.6583    0.5834
 0.5980    0.5267
 0.5449    0.4764
 0.4982    0.4326
 0.4574    0.3942
 0.4218    0.3606
 0.3888    0.3293
 0.3643    0.3058
 0.3454    0.2880
 0.3347    0.2780
 0.3303    0.2740
 0.3304    0.2742
 0.3339    0.2773
 0.3403    0.2827
 0.3493    0.2897
 0.3590    0.2964
 0.3691    0.3010
 0.3603    0.2911
 0.3206    0.2540
 0.3025    0.2267
 0.2892    0.2034
 0.2796    0.1827
 0.2769    0.1653
 0.2637    0.1382
 0.2414    0.1008
 0.2111    0.0550
 0.2037    0.0291
 0.0169   -0.0289
 0.5759    0.0967


Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  6.000       0.013     1.078    -0.103     0.029     1.000    0.0000  -3.3100
 Cpi          Cpv
-----------------
 0.5729    0.1252
-0.0690    0.1156
 0.1020    0.1086
 0.0600    0.0980
 0.0520    0.0847
 0.0297    0.0667
-0.0104    0.0412
-0.0727    0.0040
-0.1574   -0.0489
-0.2160   -0.1094
-0.2926   -0.1843
-0.4233   -0.2894
-0.4944   -0.3732
-0.5466   -0.4406
-0.6116   -0.5112
-0.6777   -0.5809
-0.7449   -0.6501
-0.8126   -0.7184
-0.8808   -0.7858
-0.9481   -0.8510
-1.0109   -0.9108
-1.0633   -0.9605
-1.1151   -1.0074
-1.1557   -1.0438
-1.2063   -1.0870
-1.2644   -1.1352
-1.3304   -1.1884
-1.4094   -1.2499
-1.5091   -1.3239
-1.6209   -1.4030
-1.7724   -1.5076
-1.9554   -1.6761
-2.1984   -1.9767
-2.5180   -2.1781
-2.9151   -2.4289
-3.4311   -2.7525
-4.0611   -3.1257
-4.4922   -3.3100
-4.3390   -3.0786
-4.1166   -2.9829
-4.6692   -3.0602
-3.8945   -2.4490
-2.4780   -1.3952
-1.1220   -0.3730
 0.1273    0.5169
 0.7558    0.9171
 0.9919    0.9960
 0.9760    0.9247
 0.8972    0.8279
 0.8086    0.7334
 0.7259    0.6528
 0.6515    0.5805
 0.5870    0.5202
 0.5312    0.4678
 0.4828    0.4228
 0.4407    0.3836
 0.4042    0.3496
 0.3727    0.3200
 0.3434    0.2925
 0.3226    0.2727
 0.3072    0.2584
 0.3000    0.2518
 0.2989    0.2511
 0.3021    0.2542
 0.3084    0.2602
 0.3173    0.2682
 0.3286    0.2773
 0.3404    0.2860
 0.3523    0.2923
 0.3447    0.2847
 0.3053    0.2504
 0.2882    0.2253
 0.2759    0.2042
 0.2673    0.1860
 0.2657    0.1712
 0.2533    0.1473
 0.2317    0.1140
 0.2020    0.0738
 0.1955    0.0529
 0.0082    0.0055
 0.5729    0.1252


Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  5.000       0.010     1.010    -0.110     0.214     1.000    0.0000  -2.4633
 Cpi          Cpv
-----------------
 0.5702    0.1618
-0.0737    0.1411
 0.0993    0.1300
 0.0582    0.1134
 0.0514    0.0947
 0.0302    0.0710
-0.0086    0.0387
-0.0694   -0.0068
-0.1522   -0.0686
-0.2087   -0.1320
-0.2828   -0.2077
-0.4101   -0.3158
-0.4778   -0.3932
-0.5264   -0.4526
-0.5872   -0.5167
-0.6486   -0.5801
-0.7105   -0.6428
-0.7723   -0.7044
-0.8338   -0.7646
-0.8935   -0.8219
-0.9479   -0.8723
-0.9912   -0.9099
-1.0327   -0.9423
-1.0621   -0.9670
-1.0996   -1.0311
-1.1423   -1.0594
-1.1901   -1.0973
-1.2470   -1.1439
-1.3193   -1.2013
